Variabile;Modalita;freq_pond;n_indeb_imm_pond;n_indeb_cons_pond;n_indeb_carte_pond;n_indeb_az_pond;n_indeb_CC_pond;n_indeb_3_pond;n_indeb_fam_pond;n_indeb_compl_pond;sum_PFIMM_pond;sum_PFCONS_pond;sum_PFCARTE_pond;sum_PFAZ_pond;sum_PFCC_pond;sum_PF3_pond;Deb_tot_pond;sum_W_indeb_pond;sum_Y_FAM_indeb_pond;sum_MUTUOIN1_pond;sum_TDEBITA1_pond;Durata_Ori_pond_MUTUOIN1;Durata_Res_pond_TDEBITA1;LTV1_pond_MUTUOIN1;Tasso_pond1;sum_MUTUOIN1_SOSPENS1;sum_MUTUOIN2_pond;sum_TDEBITA2_pond;Durata_Ori_pond_MUTUOIN2;Durata_Res_pond_TDEBITA2;LTV1_pond_MUTUOIN2;Tasso_pond2;sum_MUTUOIN3_pond;sum_TDEBITA3_pond;Durata_Ori_pond_MUTUOIN3;TAEG_pond3;sum_MUTUOIN4_pond;sum_TDEBITA4_pond;Durata_Ori_pond_MUTUOIN4;Tasso_pond4;sum_TDEBITA3_1_pond;sum_TDEBITA3_2_pond;sum_TDEBITA3_3_pond;sum_TDEBITA3_4_pond;sum_TDEBITA3_5_pond
SEX;1;4645.0208464;465.01005348;437.48038177;82.160754233;113.84614172;195.08551715;139.18342162;1059.0735056;1116.2642639;39724943.799;3577796.0625;151476.44463;5918565.2177;679797.04506;1935329.2253;51987907.795;262758134.72;43796362.348;51405176.885;34565263.549;23.776231377;17.932391906;74.121519847;2.7575924396;1869503.228;7216059.6644;5159680.2503;20.597878738;19.089809044;72.104745881;2.0271356266;5942964.5835;3577796.0625;6.4005523608;4.9468993331;6674236.4707;4252111.0066;15.636950554;3.694979334;2414221.9826;211842.14256;16328.692414;817509.69996;117893.545
SEX;2;2774.9791594;223.33638591;143.69374344;33.604226272;66.839066519;59.997741543;69.113525677;436.61636499;463.25732002;17440612.606;1110861.8962;41159.762454;6037921.5666;192675.57691;1147725.9122;25970957.32;95983500.679;15353941.307;24319243.942;15501718.909;23.728163266;18.083609915;76.320829734;2.6228317885;381800.05477;2973136.3012;1938893.6967;17.973605978;13.963125816;56.064713435;2.5727464748;1751314.6427;1110861.8962;5.3000206898;3.8467536623;6822161.8057;5778969.8479;15.269446306;3.1872726154;871573.2009;60282.284012;3866.4198465;172902.18596;0
CLETA5;1;646.10433398;70.950179955;54.764324765;6.468612885;5.7808110032;11.47622131;34.526876228;152.76958543;158.55039644;5920974.9949;290957.52678;8911.864223;152315.6582;33385.53456;391504.59183;6798050.1705;13000631.702;4550784.8962;7613367.3149;5859136.4166;23.629739928;19.736927596;81.373573424;2.7215616865;104693.89265;67025.039739;61838.578331;23.452380952;22.193548387;92.261904762;3;440226.66997;290957.52678;3.987860455;3.9988263315;155660.27228;114230.23325;4.2911772067;6.2746221758;257939.81159;32443.548838;0;574.16635102;0
CLETA5;2;1270.8980142;241.55912991;120.51508838;36.215401559;49.882323414;31.414323985;36.035116998;381.20414425;399.16831059;24827147.241;885560.30648;39375.279731;899909.83261;55963.308643;913197.43535;27621153.404;72255477.645;14075258.192;30114339.523;21862364.236;25.231472614;20.519523831;76.690338543;2.656463245;1490923.7397;3838504.6159;2964783.0058;24.393528093;22.859522471;66.22236624;2.2608711329;1494976.5184;885560.30648;6.0961150612;5.1301103235;952350.05783;444200.68096;10.603818794;5.5539922449;693601.80301;104198.94447;0;87759.559002;0
CLETA5;3;1582.4848758;243.68347919;212.32483422;30.703658396;68.676523079;104.7905018;65.693162654;506.2154076;534.84804685;17899374.36;2038844.1844;54029.19437;8890462.1257;408884.63523;1006908.3327;30298502.832;143626966.1;21885801.512;25905854.635;15554303.2;22.66464785;15.437737063;73.61236707;2.9094318135;633813.60762;3325243.2283;2345071.1598;14.619290231;10.713574298;64.213986574;2.0651968082;3045627.5924;2038844.1844;5.8047558816;4.2623022563;9710011.1617;7714016.7906;15.479427325;3.0680215423;1534676.0253;54163.356796;0;341244.39354;106522.60335
CLETA5;4;1314.7141218;88.417858076;109.50244042;27.483544122;47.757005177;63.146210228;34.811876964;264.69306688;291.4134061;7219485.0321;775768.93006;58361.724342;1787287.6373;181782.18588;322698.14785;10345383.658;74449821.829;11737755.986;9638293.2152;5748730.61;22.82551337;13.866624991;71.295788065;2.3169859329;21872.042849;2282125.7266;1470754.4221;20.991167347;19.936842616;71.049532035;2.0068661711;1437617.3338;775768.93006;5.8507212466;4.3050252595;2434330.9222;1607898.9777;18.293486448;4.1667226188;540338.92371;15397.411121;16442.713167;192218.94041;11370.941645
CLETA5;5;2605.79866;43.735792249;84.067437422;14.893763543;8.5885455692;44.256001371;37.22991445;190.80766642;195.54142398;1298574.7777;697527.01094;31958.144419;226511.53043;192456.95766;448746.62974;2895775.0509;55408738.119;6900703.0681;2452566.1391;1042447.9968;21.363454282;15.424750593;58.358437053;3.2412454431;0;676297.35511;256126.78093;15.303559048;7.7230993189;75.337242496;2.9848685078;1275831.1116;697527.01094;8.1209224195;6.0726298194;244045.86235;150734.17203;12.010094923;3.8500706698;259238.61988;65921.165353;3752.3990932;368614.82661;0
STUDIO;1;231.63395648;0.1633396533;1.004937131;1.5439091738;1.6689656536;1.9274960802;1.9683923656;6.6080744039;6.6080744039;1225.0473997;6749.2383894;2683.2716036;25034.484804;12117.51591;8303.9373341;56113.495441;625899.00676;125348.49591;1306.7172263;1225.0473997;10;5;100;2;0;;;;;;;14595.891176;6749.2383894;5;8.0246421314;;;;;2008.296316;0;0;4740.9420734;0
STUDIO;2;1361.3731633;27.740595035;35.282313152;2.4818781272;8.1443491869;21.142974598;28.216818592;101.40123488;108.38311457;1069182.9997;282051.41738;4688.2017655;216988.44738;50562.699618;203477.01563;1826950.7815;16507547.093;2496619.9288;1609534.8666;1048001.28;22.225879996;15.309454703;73.117094688;3.8296896902;312332.67349;93206.532061;21181.719763;12.733255585;3.3356654998;87.418033907;3.1911162102;476351.47637;282051.41738;10.730153076;5.5297827909;345821.14321;187516.44201;9.2621898913;3.4266744276;111448.12596;48751.187681;3669.8962198;118182.20752;0
STUDIO;3;2180.4626861;126.92440616;172.10109918;29.759484323;41.768843642;52.693419558;94.14847368;407.82766047;432.81090603;7855359.1043;1385575.4088;54017.273227;994503.32693;203924.25212;528022.02949;11021401.395;48616449.237;12121387.238;12582877.02;7532951.052;23.023426078;16.0465844;79.743554983;3.3010641135;1151374.7184;395390.90756;322408.05223;20.017889251;18.202346491;72.143987285;4.3731745123;2049262.2603;1385575.4088;5.4619996196;4.5133718814;1072525.7079;736037.09887;11.129994934;4.8714557403;1077122.1623;109265.41087;82.502873365;194467.84759;4637.4851816
STUDIO;4;666.81343575;80.93443195;63.247993218;8.1104020257;16.132205216;17.552520555;23.620181403;157.60487374;158.90610975;5727469.1775;437706.31656;6964.5450848;4650581.4696;42654.693511;237863.07392;11103239.276;35749382.663;5418016.0886;8757785.2768;5388398.8074;24.147436778;16.874651132;81.590920319;4.0098152885;18938.171376;707092.34221;339070.37015;17.99254963;14.433772914;68.789079503;2.3726991385;711096.04471;437706.31656;6.9105125284;4.4603908379;4169326.0816;3817860.6016;19.302749452;2.8075850581;293971.72449;29771.252561;2302.4922179;99733.395221;11927.452069
STUDIO;5;1961.7971999;258.66150591;203.21705943;40.26729301;70.530261139;108.71060685;45.477262545;525.72924168;559.14324531;17326359.126;1699185.7645;73843.921557;2829056.423;423372.3495;1059932.489;23411750.073;129793957.91;22064814.663;25361620.598;16436290.786;22.645024998;16.466929739;74.738091931;2.9682597172;331452.30488;1507638.747;890068.33992;18.812967749;12.715328026;76.749343571;3.5313111983;2836914.3174;1699185.7645;5.9976731081;4.5409748058;3482186.0061;2197614.1807;10.303396853;5.0201589197;1066805.1506;64250.248807;196.5236267;493510.10954;74423.731869
STUDIO;6;133.92611002;19.990725018;16.971823099;0.6197131078;0.9746890503;9.9979225251;3.1615939598;42.172133618;42.721886815;1760259.7439;89399.0034;582.55430092;77390.383331;19569.01015;31615.939598;1978816.6346;7803058.3325;1371249.4297;2326046.6099;1760259.7439;24.943062248;18.524721744;73.175144255;2.989566443;0;;;;;;;137831.11504;89399.0034;4.9426490186;5.3902226847;87960.511402;76965.447477;20;2.75;81408.872209;7990.1311909;0;0;0
STUDIO;7;796.08053114;156.89646665;72.213675041;24.307496686;41.169314669;38.311850028;10.252109825;225.06534628;241.66694158;20698171.639;619962.19629;45430.662511;3148103.2649;110950.25549;1010936.4226;25633554.441;101951387.8;13577119.263;21990539.319;15594300.841;24.61148867;19.936622562;69.742141545;1.8311349029;437205.41465;6669925.0204;5103870.7984;21.425308775;19.350206902;64.896594521;1.8046998857;1090799.4066;619962.19629;5.531908046;4.5321041758;4338578.826;3015087.0839;17.35085704;2.6332535937;500931.55842;10110.572574;0;79777.383975;26904.875877
STUDIO;8;87.912923117;17.034969011;17.135224965;8.6748040513;0.2965796856;4.7464684978;1.4521149244;29.281305499;29.281305499;2727529.5675;168028.61341;4425.7770347;14828.984282;9321.8456639;2904.2298489;2927039.0177;17693953.359;1975748.5477;3094710.4187;2305554.9009;28.679194516;25.22069387;74.69687259;1.2496950787;0;815942.41634;421974.66654;11.006943512;11.039898631;65.104152678;1.9231918904;377428.71462;168028.61341;6.0899202118;6.8133267782;;;;;152099.2932;1985.6228921;13943.697322;0;0
Q;1;3460.1783464;489.02874158;424.0013715;72.62161806;29.55196924;144.91778219;101.62667955;974.09313838;990.41066875;41765454.049;3170629.3497;115595.49476;655955.98695;343327.88601;1903299.8278;47954262.595;182349467.12;37573913.861;55855559.686;37677613.859;24.044434279;18.6614975;75.378154014;2.6026958847;920737.26983;5699968.2932;4087840.19;19.891877104;18.179787237;72.95838904;2.3925077431;5219987.8104;3170629.3497;5.727333429;4.5216297796;725858.58738;435524.8406;13.153573345;5.1784662237;2283095.8306;201637.74599;16442.713167;549321.70955;117893.545
Q;2;769.24551291;134.26296493;60.182352593;23.606816876;146.17583027;62.844151575;19.325429798;248.94725381;311.87071468;12781053.919;741970.45976;39565.319086;11206428.404;360015.77461;468986.69603;25598020.572;118678953.01;14034796.455;15953934.122;10414011.017;23.337941768;16.162793075;75.249966405;2.9345597386;907187.40025;3565127.0954;2367042.9023;19.898162464;16.317247739;62.62379252;1.8599658903;1069284.3624;741970.45976;5.5855493823;4.0520910724;12646837.421;9537828.2887;15.589279133;3.3231534091;712151.58101;6703.7322888;0;23115.146464;0
Q;3;3190.5761464;65.05473287;96.990401116;19.536545568;4.9574087293;47.321324932;87.344837951;272.64947838;277.24020053;2619048.4371;776058.14919;37475.393239;94102.393433;169128.96136;710768.61362;4406581.948;57713215.261;7541593.3391;3914927.0196;1975357.5824;21.437194219;14.541513065;65.256063878;3.7215553518;423378.6127;924100.57697;643690.85474;19.208899805;19.622209772;51.810268821;1.9649886352;1405007.0533;776058.14919;8.1502142733;5.9651007652;123702.26844;57727.725272;14.814814815;3.1111111111;290547.77189;63782.948301;3752.3990932;417975.0299;0
QUAL;1;1721.5175875;156.67702932;182.02895582;24.136101753;8.4841849946;51.352333281;67.512488717;394.74701238;400.82571898;10156539.604;1208263.4069;37159.05537;178611.5855;74235.552018;583661.58029;12238470.784;34769395.107;10966177.22;14831818.514;9466112.1976;23.128896878;16.473070587;83.034838628;3.3665454725;361027.77991;783975.76528;690427.40639;23.670279733;18.776417068;80.81925924;4.0829723221;1887717.747;1208263.4069;5.8732614672;4.8468453368;112203.76328;61476.09769;5.1922692992;5.5876962705;888754.76204;137493.43065;2302.4922179;163961.39086;15751.331153
QUAL;2;1398.9872692;244.32388892;184.95759338;38.373938816;17.195683763;74.953366852;28.926136778;449.29744651;457.13711629;18263203.461;1521982.4278;54236.855792;458135.13376;215407.30406;763439.89758;21276405.08;83539240.843;17807687.458;26535597.632;17521498.188;23.295775549;17.701122063;74.414496378;2.7780229343;559709.48992;1409271.8511;741705.27277;16.540859365;11.146724085;71.77522338;3.3770084216;2596937.7168;1521982.4278;5.7277325843;4.437940479;561868.50939;361306.64252;14.371018962;5.220930069;1080215.7511;61354.433572;196.5236267;310898.23192;69317.487601
QUAL;3;339.67348979;88.027823349;57.0148223;10.111577491;3.8721004833;18.612082056;5.188054051;130.04867949;132.44783348;13345710.985;440383.51502;24199.583598;19209.267695;53685.029928;556198.34996;14439386.731;64040831.174;8800049.1829;14488143.54;10690003.474;26.352886796;22.173480565;69.304820665;1.6389283324;0;3506720.6768;2655707.5108;20.393861448;19.988921118;71.676470666;1.6780644501;735332.34664;440383.51502;5.3513027395;3.9185817467;51786.314717;12742.100389;17.194098759;2;314125.31748;2789.8817649;13943.697322;74462.086773;32824.726242
QUAL;4;371.56267809;81.211666156;36.732466529;16.227613987;78.325300235;35.142336957;8.2030199287;148.70813863;178.31760445;9021331.099;480033.16978;23060.472936;5227648.918;239784.26303;432149.28153;15424007.204;73097496.564;9280171.7281;10229912.35;6891753.2195;22.388408347;15.139253215;75.581876082;2.4775946151;46035.412378;3146986.0674;2129577.8795;19.884631279;16.65881091;61.064441013;1.721737193;714188.66341;480033.16978;5.9224641976;4.4542110475;7021709.2896;4873191.7249;13.981095118;3.5491450009;456900.58155;6357.409614;0;16775.178615;0
QUAL;5;397.68283483;53.051298778;23.449886065;7.379202889;67.850530038;27.701814618;11.122409869;100.23911518;133.55311023;3759722.8199;261937.28998;16504.84615;5978779.4859;120231.51158;36837.414497;10174013.368;45581456.45;4754624.7267;5724021.7713;3522257.7971;25.034938051;18.165481273;74.656780873;3.8286711417;861151.98788;418141.02802;237465.02278;20;13.254121369;74.359683377;3.099595932;355095.69904;261937.28998;4.9079271463;3.3151554252;5625128.1309;4664636.5638;17.596735741;3.0870577689;255250.99946;346.32267477;0;6339.967849;0
QUAL;6;2756.9060374;47.992443623;93.325605482;19.242170992;4.9574087293;42.381675147;44.120676313;207.83679216;212.42751431;1584923.3117;736535.1401;37239.893578;94102.393433;162752.67358;469327.05228;3084880.4647;51261434.96;7003713.2636;3104074.0752;1383520.3588;20.986345526;14.175350346;60.554759257;3.1829701881;21872.042849;481812.6751;201402.95287;13.892863745;7.8123950575;69.077465722;2.8104370921;1342038.3514;736535.1401;8.119826076;5.9640424944;123702.26844;57727.725272;14.814814815;3.1111111111;287947.94562;63648.07767;3752.3990932;381186.71772;0
QUAL;7;433.670109;17.062289247;3.6647956333;0.2943745759;0;4.9396497853;43.224161637;64.812686222;64.812686222;1034125.1255;39523.00909;235.4996607;0;6376.2877767;241441.56134;1321701.4833;6451780.3014;537880.07544;810852.94442;591837.22359;23.163114745;15.397480814;83.253405929;4.9805899466;401506.56985;442287.90187;442287.90187;25;25;33;1.58;62968.701911;39523.00909;8.7978713629;5.9848222801;;;;;2599.826274;134.87063147;0;36788.312185;0
SETT;1;183.22639374;9.9751285642;15.137512203;2.6297821808;10.438317359;0.4233067212;7.1713565571;33.220748612;41.895902427;345577.62768;85146.874297;3510.8770808;560382.84234;619.44486851;32196.299189;1027433.9655;12699974.277;1072050.2939;465119.07321;345577.62768;19.306617976;14.6286722;76.826276572;2.9490990556;0;;;;;;;188565.93063;85146.874297;5.0313569458;3.613254348;541769.3766;321342.94528;14.414040245;3.8791181243;63251.234793;144.61040375;0;21751.029099;0
SETT;2;863.00830769;121.10487433;104.90425928;11.029115825;6.9377370958;34.182502078;18.376332705;242.21362581;244.47541519;10814937.029;760287.38893;11979.22645;122299.72335;76053.805126;551825.11552;12337382.288;57989937.421;10209477.99;14859192.77;10114302.164;24.624219893;19.636272671;73.71507568;2.5253917554;1077374.1255;1197089.4844;700634.86437;16.877311634;14.164601881;66.730724742;2.5984114587;1139488.4148;760287.38893;5.7762234455;4.9416525834;119734.92219;81925.458436;5.5573004947;2.3353646687;623024.03825;48818.81238;0;60726.056321;27718.481975
SETT;3;927.94793931;127.88141294;120.9237873;30.354394905;20.55463064;54.837322073;9.5346198767;256.74531331;267.65850529;9282441.8414;1083631.4501;52958.279547;432129.14038;99591.524202;108540.87988;11059293.116;74836337.502;12266641.651;13420014.256;8246808.8613;22.987602591;16.692173027;74.288631219;2.8500339347;122504.07527;1363445.1198;1035632.9801;14.811169908;11.432431456;82.025290146;2.5560581562;1789635.4403;1083631.4501;5.8606983421;4.3149822052;428221.26852;255565.46044;10.615980522;5.9779087778;623332.5637;15781.215046;16246.18954;359767.60033;68503.881504
SETT;4;2255.2412186;364.33029067;243.21816531;52.215142026;137.79711442;118.31880289;85.869800206;690.86070446;748.25156052;34103551.47;1983534.0961;86712.430768;10747572.685;527078.88642;1679724.2293;49128173.798;155502170.94;28060540.382;43065167.708;29384936.223;23.96315894;18.040553177;76.228371692;2.6734277838;628046.46928;6704560.7845;4718615.2478;21.46668245;19.322548797;66.731090633;2.058894839;3171582.3871;1983534.0961;5.6280914246;4.3368854121;12282970.441;9314519.2651;15.768354781;3.3265718083;1685639.5748;143596.84045;196.5236267;130192.17026;21671.181518
SETT;5;3190.5761464;65.05473287;96.990401116;19.536545568;4.9574087293;47.321324932;87.344837951;272.64947838;277.24020053;2619048.4371;776058.14919;37475.393239;94102.393433;169128.96136;710768.61362;4406581.948;57713215.261;7541593.3391;3914927.0196;1975357.5824;21.437194219;14.541513065;65.256063878;3.7215553518;423378.6127;924100.57697;643690.85474;19.208899805;19.622209772;51.810268821;1.9649886352;1405007.0533;776058.14919;8.1502142733;5.9651007652;123702.26844;57727.725272;14.814814815;3.1111111111;290547.77189;63782.948301;3752.3990932;417975.0299;0
AREA5;1;2067.7685458;240.7044643;160.13465902;34.818286611;36.603791528;70.918348136;48.616480732;427.60703228;438.30411103;19718808.046;1463873.2296;54804.015199;3246417.9151;181348.80131;1471423.8534;26136675.86;104415146.02;18205993.899;27451985.207;17312420.699;23.227707623;17.761054482;73.3925609;2.2744210422;604948.30662;3395570.8663;2406387.347;19.249898371;15.740736546;70.673482878;2.5712754747;2121977.0596;1463873.2296;5.5973661172;4.4043629597;3600556.5023;2806273.8816;9.9996696755;3.6231604886;1125248.9258;69424.687022;0;230367.28881;38832.327946
AREA5;2;1453.192775;165.80635617;128.41689315;19.346411866;30.302050762;57.237635896;21.068215028;306.23297521;321.91263609;13211188.75;1028019.7074;42842.794671;5154355.469;271618.58308;381385.58469;20089410.889;85000612.657;13598769.251;19135018.243;12557319.565;24.104203123;18.250845452;77.268391716;2.6505514816;1188034.8635;1496132.2307;653869.1857;14.891368519;12.544709643;61.077859616;2.6644265711;1744404.0328;1028019.7074;6.2172921657;4.2048818849;4992313.7496;4333747.5712;18.097384326;2.9697177588;745011.72218;51134.100063;13943.697322;147188.50085;68503.881504
