NQUEST,DEBM31,TDEBITA31,TMUTUOAB31,MUTUOIN31,MUTUODU31,TAEG31,DEBGAR31_1,DEBGAR31_2,DEBGAR31_3,DEBGAR31_4,DEBGAR31_5,DEBPERS31,DEBRF31,DEBM32,TDEBITA32,TMUTUOAB32,MUTUOIN32,MUTUODU32,TAEG32,DEBGAR32_1,DEBGAR32_2,DEBGAR32_3,DEBGAR32_4,DEBGAR32_5,DEBPERS32,DEBRF32,DEBM33,TDEBITA33,TMUTUOAB33,MUTUOIN33,MUTUODU33,TAEG33,DEBGAR33_1,DEBGAR33_2,DEBGAR33_3,DEBGAR33_4,DEBGAR33_5,DEBPERS33,DEBRF33,TAEG11,TAEG12,TAEG13
676844,1,6000,2750,8500,3,6,1,0,0,0,0,,2,2,2000,2000,4000,2,,1,0,0,0,0,,1,,,,,,,,,,,,,,1,2,
676851,4,3000,3600,20000,7,,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
677280,1,1500,2940,10000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
677896,1,5300,1300,7000,6,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
678138,1,7000,3000,8000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
678160,1,10000,2400,15000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
678198,2,300,100,1200,1,8,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
678255,3,1700,426,17000,5,9,0,1,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
678264,4,5000,500,5000,2,,0,0,0,1,0,1,2,4,5000,1000,5000,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
678304,3,9000,5400,15000,5,9,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
680257,2,600,750,1400,1,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
680285,4,3800,1200,5000,5,,0,1,0,0,0,,2,2,3800,1200,5000,5,,0,1,0,0,0,,2,,,,,,,,,,,,,,2,2,
680567,2,600,96,900,1,7,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
680651,1,6400,2064,9400,6,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
680732,1,2500,225,5000,2,5,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
680870,1,9000,4800,19500,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
681012,1,500,1500,3000,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
681096,3,7200,3600,10000,6,9,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
681268,1,15000,11000,35000,6,*,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
681366,2,800,800,1450,2,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
681436,1,6000,2400,8000,6,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
681520,2,2200,750,3000,4,,0,0,0,1,0,1,2,2,900,50,900,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
681571,1,1800,220,6000,3,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
681713,1,5000,2400,8000,4,,1,0,0,0,0,,2,1,8000,3800,10000,4,,1,0,0,0,0,,2,,,,,,,,,,,,,,2,2,
681822,1,1150,3450,13000,4,,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
681932,1,13200,4000,15000,4,,0,0,0,1,0,1,2,2,300,270,500,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
682121,1,3000,1500,8000,6,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
682275,2,600,650,1300,1,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
682298,1,5500,3000,11000,3,7,1,0,0,0,0,,2,2,100,250,460,1,6,0,0,0,1,0,1,2,,,,,,,,,,,,,,1,1,
682491,1,7000,1500,8500,3,1,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
682737,4,1500,1500,2500,2,,0,0,0,1,0,1,2,4,500,1000,1800,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
682791,1,2000,1900,10000,3,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
682995,4,15000,2700,30000,15,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683033,1,10000,3500,15000,5,,0,0,0,1,0,1,2,4,20000,5000,30000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
683143,2,4000,1800,4700,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683164,1,5000,3000,13000,5,6,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
683171,4,16048,272,16320,5,,0,0,0,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683349,1,15000,3000,19000,10,3,0,0,0,1,0,1,2,1,6000,5500,23000,5,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,1,1,
683358,1,2000,3000,7500,3,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683472,1,8000,1800,16800,6,5,1,0,0,0,0,,2,2,600,600,620,1,,1,0,0,0,0,,2,,,,,,,,,,,,,,1,2,
683645,1,5000,3600,15000,5,8,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
683660,1,1350,2660,10000,4,,0,0,0,1,0,2,2,2,2300,500,3000,2,,0,0,0,1,0,2,2,,,,,,,,,,,,,,2,2,
683664,1,7000,1680,8000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683665,1,6000,3000,10000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
683707,1,1300,3100,8000,3,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
683904,2,600,600,1200,1,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
684063,2,2500,600,3000,5,0,0,0,0,1,0,1,2,4,18600,3600,24000,10,4,0,0,0,1,0,2,2,,,,,,,,,,,,,,1,1,
684328,1,8000,1380,10000,10,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
684359,1,7200,3600,15000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
684608,1,17000,300,27000,5,*,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
684885,1,4500,3600,14500,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
685124,1,8000,7200,21000,3,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
685129,4,20000,3600,25000,5,6,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
685149,1,5000,2500,10000,5,9,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
685591,1,1500,1500,3500,5,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
685805,1,3600,1800,9000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
685836,1,8000,4700,10000,5,,1,0,0,0,0,,2,1,3000,3200,7000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,2,2,
685965,2,500,100,1000,12,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686006,1,5000,5000,17000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686185,1,10000,4000,23000,4,4,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
686234,1,12000,4200,15000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686235,1,7000,2400,9400,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686397,1,2000,4800,17000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686423,2,100,50,500,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
686528,4,7400,1600,9000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
687022,1,7000,3000,14000,7,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
687076,1,12000,5640,15000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
687321,2,5000,2500,20000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
687564,2,3300,300,3600,3,,0,0,0,1,0,1,2,2,80,480,560,1,,1,0,0,0,0,,2,,,,,,,,,,,,,,2,2,
687576,1,50,4560,10000,3,8,1,0,0,0,0,,3,4,8000,3912,10000,3,7,0,0,0,1,0,1,3,,,,,,,,,,,,,,1,1,
687953,1,3200,3200,12800,5,,0,0,0,1,0,1,2,1,4300,2150,6000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
687971,1,10960,2740,11270,5,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
688022,1,400,1700,6800,4,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
688089,1,9000,600,9600,6,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
688179,1,2500,3000,10000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
688226,4,15000,3600,250000,6,,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
688287,4,8800,1200,10000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
700531,1,1500,2400,6000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
701035,1,7000,1800,7000,6,,1,1,1,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
702643,1,2000,3000,10000,5,,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
702827,1,9000,3000,19000,7,,0,0,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
704743,1,4000,4800,15000,4,7,0,0,0,1,0,1,2,4,1600,1640,2880,1,,0,0,0,1,0,1,2,,,,,,,,,,,,,,1,2,
704766,4,1950,450,2000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
704911,2,2000,2400,6000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
704927,1,9000,4500,16000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
706422,1,6000,2400,6000,3,,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
706501,1,10000,2400,10000,5,8,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
706629,1,6000,350,8000,36,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
706634,1,10000,3600,10000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
707104,2,116,1300,1400,1,*,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
707307,1,8000,2500,9500,4,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
707523,2,350,300,600,1,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
707541,2,1250,1300,1400,2,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
707601,1,10000,3600,15000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
708521,1,6000,3200,9500,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
709421,4,1600,2100,4000,2,8,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
709442,1,11000,4200,15000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
710415,2,100,1050,1100,1,9,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
710624,1,13000,1000,14000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
710944,2,1000,400,1800,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
711417,2,1200,1200,2400,12,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
711624,1,14000,4500,24000,3,*,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
711719,2,600,550,1200,1,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
712127,1,9000,1000,10000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
712132,4,10000,4000,11000,5,,1,0,0,0,0,,2,4,10000,4000,12000,2,,1,0,0,0,0,,2,,,,,,,,,,,,,,2,2,
712823,2,800,1350,1850,1,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
712869,1,8000,1500,8000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
713222,2,2000,1200,2500,3,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
713247,1,600,3360,10000,4,3,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
713852,1,1000,2400,10000,5,,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
713854,1,9000,2300,10000,8,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
714437,2,3500,3850,9000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
714475,4,9600,4800,30000,6,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
714538,1,3000,2500,11000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
714604,2,480,55,530,1,5,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
715004,1,6000,1400,8500,7,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
715027,4,1070,800,1800,1,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
716937,1,5000,305,13000,5,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
717014,1,3600,1200,6000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
717312,4,3000,120,3000,3,,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
717605,2,4500,3000,10000,8,9,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
717865,1,8000,200,9000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
718674,1,10000,3900,22000,6,6,1,0,0,0,0,,2,1,27000,600,35000,6,6,1,0,0,0,0,,2,,,,,,,,,,,,,,1,1,
718832,2,200,700,850,1,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
719763,1,10000,2520,15000,10,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
720163,4,7000,2500,7000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
720256,2,100,270,370,1,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
720404,4,2000,1860,3100,2,,0,1,0,0,0,,2,4,8000,2100,13000,10,,0,1,0,0,0,,2,,,,,,,,,,,,,,2,2,
720416,2,8000,3600,15000,5,6,0,1,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
720566,2,600,1200,1500,1,,0,0,0,1,0,1,2,4,3100,3700,15000,4,,0,0,0,0,1,,2,,,,,,,,,,,,,,2,2,
721628,2,1000,1100,2000,2,5,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
721717,1,800,1500,2800,2,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
721777,1,20000,7000,25000,4,5,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
721843,1,6000,2580,10900,5,3,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
721871,1,1080,2160,10800,5,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
722310,1,2000,3425,16000,5,,0,0,0,1,0,1,2,2,534,356,890,1,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
722331,3,1200,1200,6000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
722807,1,6000,1200,7000,10,,1,0,0,0,0,,2,4,5000,500,5000,15,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
723200,2,300,120,300,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
723448,4,5000,3300,10000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
724132,4,5000,200,5500,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
725535,1,50,5400,13500,2,,0,0,0,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
725643,1,3000,818,3500,2,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
726553,1,5000,5000,10000,3,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
726867,1,6700,3600,8000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
727039,1,6000,2400,22000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
727267,4,5000,1000,7000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
727567,1,17000,6000,25000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
727740,1,2948,3216,11000,5,,1,0,0,0,0,,2,1,1120,1120,3000,3,,1,0,0,0,0,,2,,,,,,,,,,,,,,2,2,
728306,1,6500,1000,7000,3,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
731344,1,5000,3500,12000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
731810,1,9000,2500,15000,7,6,0,0,0,1,0,1,2,2,100,2000,2000,1,0,0,0,0,1,0,1,2,,,,,,,,,,,,,,1,1,
731827,1,8000,3000,9000,4,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
732013,1,20000,367,28000,10,7,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
732360,1,8000,4000,20000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
733216,2,15000,3600,15000,7,,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
735103,1,5000,243,17000,6,,0,0,0,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
735143,1,5000,2300,9000,5,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
735401,1,5000,300,12000,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736917,1,10800,3600,12500,4,6,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
736935,2,3000,3000,16000,6,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
737420,1,12168,3800,16000,5,7,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
737436,1,6000,3000,15000,10,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
737730,1,2500,1200,6000,6,,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800003,1,5000,600,5600,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800010,1,3500,4800,20000,6,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
800106,2,4000,1800,7000,6,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800135,1,4000,2400,15000,6,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800260,1,18000,800,18000,7,,0,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800277,1,10000,3000,10000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800336,1,5000,2200,11000,7,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800416,4,5000,1000,5000,6,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
800483,2,120,1300,1450,1,6,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
800858,2,700,100,850,1,7,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
800999,1,4800,2400,12000,5,3,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
801028,1,5000,1900,6000,5,5,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
801221,1,5000,1680,9000,8,,0,0,0,1,0,1,2,1,4000,1296,5000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,2,2,
801238,4,5000,1800,5000,5,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
801543,4,1400,600,2000,2,4,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
801812,4,3000,1400,3000,3,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
801833,2,1000,650,1500,2,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
801875,1,17500,350,17500,5,7,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
801878,2,1000,86,1100,12,,0,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
