nquest,numadd,numdip,quopro,forgiu,fatlor,ym,debatt1,ndebatt1,debatt2,ndebatt2,debcom,tdebcom,credcom,tcredcom,tfr,immob,valaz,ind1,ind2,ind3,ind4,ind5,ind6,attivp1,attivp2,attivp3,attivp4,attivp5,attivp6,mesilav1,mesilav2,mesilav3,mesilav4,mesilav5,mesilav6,oretot1,oretot2,oretot3,oretot4,oretot5,oretot6
11972,3,3,49,8,70000,40000,2,,2,,2,,2,,1000,1,100000,1,,,,,,1,,,,,,11,,,,,,60,,,,,
22277,2,0,100,8,35000,20000,2,,2,,2,,2,,,2,30000,2,,,,,,1,,,,,,12,,,,,,55,,,,,
22279,2,1,100,8,25000,15000,2,,2,,2,,2,,1000,1,2000,1,3,,,,,1,1,1,,,,12,12,,,,,70,60,,,,
24924,2,0,100,8,80000,50000,2,,2,,2,,2,,,2,40000,1,2,,,,,1,1,,,,,12,12,,,,,50,60,,,,
31220,1,0,100,8,4000,2000,2,,2,,2,,2,,,1,30000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
32729,2,0,41,8,42000,13200,2,,2,,1,1200,1,11200,,2,40000,2,,,,,,2,1,,,,,12,,,,,,10,,,,,
36146,3,0,100,8,100000,40000,2,,2,,1,20000,1,28000,,2,50000,2,3,4,,,,1,1,1,,,,12,12,12,,,,50,40,40,,,
36893,3,0,100,8,2000,1000,2,,2,,2,,2,,,1,100000,1,,,,,,2,,,,,,12,,,,,,8,,,,,
38885,1,0,100,8,19000,3000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,48,,,,,
39318,2,2,50,7,250000,40000,2,,2,,2,,2,,23000,2,350000,1,2,,,,,1,1,,,,,12,12,,,,,50,50,,,,
505243,2,0,100,6,50000,25000,2,,2,,2,,2,,,2,10000,1,2,,,,,2,2,,,,,12,12,,,,,45,40,,,,
505525,5,1,33,9,40000,20000,1,1,2,,2,,2,,40000,1,200000,1,,,,,,1,,,,,,12,,,,,,10,,,,,
507037,1,0,100,8,4000,2500,2,,2,,2,,2,,,2,30000,1,,,,,,2,,,,,,6,,,,,,24,,,,,
507401,3,1,100,9,50000,19000,1,2,2,,2,,1,10000,11200,1,30000,2,3,,,,,1,1,,,,,11,11,,,,,65,59,,,,
507998,1,1,100,8,40000,12000,2,,2,,1,10000,2,,,2,30000,2,,,,,,1,,,,,,12,,,,,,54,,,,,
627842,1,1,100,8,22000,11000,2,,2,,2,,2,,,2,25000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
632099,2,1,100,8,43850,-4500,2,,2,,1,7400,1,4000,5000,2,200000,1,,,,,,1,,,,,,12,,,,,,38,,,,,
639924,1,0,100,8,18000,14000,2,,2,,1,3500,2,,,2,65000,2,,,,,,1,,,,,,12,,,,,,48,,,,,
649015,5,3,100,6,250000,30000,2,,2,,1,40000,1,30000,40000,2,150000,1,2,,,,,1,1,,,,,12,12,,,,,50,20,,,,
649063,2,0,100,8,50000,15000,1,1,2,,1,60000,1,12000,,1,300000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
671372,7,5,100,8,5000,0,2,,2,,2,,2,,70000,1,100000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
673556,6,3,50,8,40000,30000,2,,2,,2,,2,,5000,2,100000,1,2,,,,,1,2,,,,,12,12,,,,,45,45,,,,
674196,3,2,60,8,44000,18000,2,,2,,2,,2,,20000,1,30000,1,2,,,,,1,1,,,,,12,12,,,,,50,17,,,,
675905,4,2,100,8,150000,50000,2,,2,,2,,2,,900,2,1000000,1,2,,,,,1,1,,,,,12,12,,,,,50,65,,,,
677176,4,0,100,7,200000,100000,2,,2,,2,,2,,,2,20000,1,2,3,4,,,1,1,1,1,,,12,12,12,12,,,50,50,40,40,,
677634,2,0,50,8,50000,25000,2,,2,,2,,2,,,2,140000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
677709,1,0,100,8,8000,6000,2,,2,,2,,2,,,2,10000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
680274,3,1,100,1,90000,60000,2,,2,,2,,2,,6000,1,500000,1,2,,,,,1,1,,,,,11,11,,,,,50,50,,,,
680861,2,0,100,8,30000,15000,2,,2,,2,,2,,,1,1000,1,2,,,,,1,1,,,,,7,7,,,,,45,45,,,,
681133,1,0,100,8,20000,12000,2,,2,,2,,2,,,2,20000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
681329,3,2,70,8,13000,7000,2,,1,1,1,1000,1,500,20000,1,50000,1,,,,,,2,,,,,,12,,,,,,20,,,,,
681435,1,0,100,9,15000,10000,2,,2,,2,,2,,,2,50000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
682201,3,2,100,7,30000,25000,2,,2,,1,4000,1,10000,7000,2,20000,2,,,,,,1,,,,,,10,,,,,,38,,,,,
683373,2,1,100,8,180000,22000,1,1,2,,2,,2,,10000,1,100000,1,2,,,,,1,1,,,,,12,12,,,,,40,25,,,,
683782,1,0,100,8,10000,10000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,8,,,,,,10,,,,,
684496,2,0,100,8,30000,15000,2,,2,,2,,2,,,1,50000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
684665,1,0,100,8,20000,12000,1,1,2,,2,,2,,,1,20000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
685296,7,4,33,7,25000,12000,1,1,2,,2,,2,,20000,1,1000000,2,,,,,,1,,,,,,12,,,,,,50,,,,,
686730,4,2,100,8,16000,12000,1,1,2,,1,12000,2,,,2,170000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
686763,3,1,100,8,15000,10000,2,,2,,2,,2,,1000,1,100000,1,,,,,,1,,,,,,12,,,,,,8,,,,,
701240,3,0,30,9,20000,7000,2,,2,,2,,2,,,2,30000,2,,,,,,1,,,,,,9,,,,,,50,,,,,
701800,8,3,20,7,27000,15600,1,1,2,,2,,1,8000,20000,1,180000,1,,,,,,1,,,,,,12,,,,,,30,,,,,
708044,1,0,100,8,300000,50000,2,,2,,1,150000,2,,,1,15000,1,2,,,,,1,1,,,,,12,12,,,,,48,,,,,
710064,2,0,100,8,110000,60000,2,,2,,2,,2,,,1,500000,1,2,,,,,1,1,,,,,12,12,,,,,30,35,,,,
710624,2,0,49,9,27000,13200,2,,2,,2,,2,,,2,10000,2,,,,,,1,,,,,,12,,,,,,54,,,,,
712964,40,38,10,2,40000,32000,2,,2,,2,,1,10000,30000,1,300000,2,,,,,,2,,,,,,12,,,,,,12,,,,,
716908,2,0,75,8,2000,1000,2,,2,,2,,2,,5000,2,5000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
731413,4,2,50,1,20000,13000,2,,2,,2,,1,7000,18000,1,35000,1,,,,,,1,,,,,,12,,,,,,48,,,,,
732466,1,0,100,8,5000,1000,2,,1,1,2,,2,,,2,100000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
732601,6,4,100,7,500000,50000,2,,2,,2,,2,,18000,1,40000,1,2,,,,,1,1,,,,,12,12,,,,,60,25,,,,
733072,2,1,100,8,25000,14000,2,,2,,1,15000,1,4000,6000,2,80000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
737406,5,4,100,8,30000,25000,2,,2,,2,,2,,,1,1000000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
805223,1,0,100,9,10000,5000,2,,2,,1,3500,2,,,2,35000,2,,,,,,1,,,,,,1,,,,,,36,,,,,
805449,4,0,25,1,25000,16000,2,,2,,1,5000,1,15000,,2,50000,1,,,,,,1,,,,,,12,,,,,,36,,,,,
806583,3,1,100,7,140000,0,1,1,2,,1,10000,2,,16000,2,100000,1,2,,,,,1,1,,,,,3,12,,,,,70,70,,,,
807128,1,0,100,8,30000,12000,1,1,2,,2,,2,,,1,250000,2,,,,,,1,,,,,,12,,,,,,24,,,,,
809042,2,0,100,8,45000,33000,2,,2,,2,,2,,,2,0,1,2,,,,,1,1,,,,,12,12,,,,,30,50,,,,
813355,4,1,20,9,10000,4000,2,,2,,2,,2,,15000,1,100000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
817059,3,1,100,8,,,2,,2,,2,,2,,,2,200000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
819197,2,0,50,1,18000,10000,2,,2,,2,,2,,,2,20000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
822033,2,1,10,8,20000,8500,2,,2,,2,,2,,1000,2,2000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
824876,4,3,100,8,100000,80000,2,,2,,2,,1,50000,,1,400000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
825824,3,0,100,8,16000,11000,2,,2,,2,,2,,,1,15000,1,3,4,,,,1,1,1,,,,12,12,12,,,,38,38,38,,,
826687,1,1,50,8,8000,3000,2,,2,,2,,2,,,2,15000,2,,,,,,1,,,,,,11,,,,,,50,,,,,
851393,1,0,100,9,150000,30000,2,,2,,1,2000,1,10000,,1,100000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
853590,4,3,100,8,180000,15000,2,,2,,2,,2,,15000,2,300000,1,,,,,,1,,,,,,12,,,,,,28,,,,,
853796,10,8,100,9,100000,15000,2,,2,,2,,2,,500,2,100000,3,4,5,,,,1,1,1,,,,6,6,6,,,,40,40,40,,,
854292,1,0,100,9,10000,6000,2,,2,,2,,2,,,2,50000,1,,,,,,1,,,,,,12,,,,,,11,,,,,
855221,2,0,100,8,28000,20000,2,,2,,2,,2,,,2,25000,1,2,,,,,1,1,,,,,12,12,,,,,40,35,,,,
856297,10,8,40,8,80000,60000,2,,2,,2,,2,,25000,1,3000000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
856800,5,4,100,8,680000,190000,2,,2,,2,,2,,,2,2400000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
857519,1,0,100,8,25000,18000,2,,2,,2,,1,5000,,2,200000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
858090,1,0,100,8,5000,2000,2,,2,,2,,2,,,1,150000,2,,,,,,1,,,,,,2,,,,,,8,,,,,
859464,2,0,50,8,25000,10000,2,,2,,2,,2,,,1,200000,1,,,,,,1,,,,,,12,,,,,,30,,,,,
860940,9,7,100,8,52000,35000,2,,2,,1,10000,1,50000,12000,2,60000,1,2,,,,,1,1,,,,,12,12,,,,,70,50,,,,
862604,2,1,100,8,34000,22000,2,,2,,2,,2,,4500,1,100000,2,,,,,,1,,,,,,12,,,,,,60,,,,,
863705,3,2,100,8,40000,25000,2,,2,,1,3000,1,5000,2000,2,50000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
864621,38,35,70,1,40000,25000,2,,2,,2,,2,,65000,2,350000,1,2,,,,,1,1,,,,,12,12,,,,,60,45,,,,
864875,2,0,100,9,100000,25000,2,,2,,2,,2,,,2,30000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
866575,8,3,33,7,,,1,2,2,,2,,1,10000,45000,1,500000,1,2,,,,,1,1,,,,,12,12,,,,,60,25,,,,
868251,2,1,100,9,35000,12000,1,1,1,1,2,,2,,,1,60000,1,2,,,,,1,1,,,,,12,1,,,,,70,2,,,,
871191,1,1,100,8,100000,5000,2,,2,,2,,2,,1000,2,0,2,,,,,,1,,,,,,4,,,,,,24,,,,,
871291,4,0,100,7,100000,55000,2,,2,,2,,2,,,1,50000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
871412,1,0,100,8,40000,20000,2,,2,,2,,2,,,1,500000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
871995,5,0,100,8,100000,50000,1,3,2,,1,30000,1,20000,6000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,50,60,,,,
872296,2,0,100,8,70000,42000,2,,2,,2,,1,4000,,1,550000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
872713,1,1,100,8,17000,12000,2,,2,,2,,2,,20000,2,45000,2,,,,,,1,,,,,,12,,,,,,45,,,,,
873172,6,2,60,7,100000,60000,2,,1,3,1,70000,1,80000,15000,1,200000,1,2,,,,,1,1,,,,,12,12,,,,,50,40,,,,
873562,1,0,100,8,7000,0,2,,2,,2,,2,,,2,50000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
874681,4,0,50,7,40000,25000,2,,2,,2,,2,,,2,100000,1,3,,,,,1,1,,,,,12,12,,,,,60,30,,,,
874847,1,0,100,8,10000,5000,2,,2,,1,4000,2,,,2,15000,3,,,,,,1,,,,,,12,,,,,,40,,,,,
874891,6,4,100,8,120000,30000,2,,2,,1,25000,1,10000,36000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,55,55,,,,
875649,2,0,30,7,60000,40000,2,,2,,2,,2,,,2,0,1,4,,,,,1,1,,,,,12,12,,,,,40,40,,,,
875909,10,8,25,1,200000,40000,2,,2,,2,,1,15000,70000,1,300000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
876079,1,0,100,8,20000,10000,2,,2,,2,,2,,,1,500000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
876520,2,1,100,9,50000,20000,2,,2,,1,5000,1,200,15000,2,50000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
876524,3,2,100,9,45000,25000,2,,2,,1,10000,1,10000,10000,1,70000,1,3,,,,,1,1,,,,,6,12,,,,,10,40,,,,
876581,2,0,50,7,13000,10000,2,,2,,2,,2,,,2,15000,1,,,,,,1,,,,,,11,,,,,,40,,,,,
877124,5,2,30,9,41000,30000,2,,2,,2,,2,,,1,40000,1,,,,,,1,,,,,,12,,,,,,38,,,,,
877821,1,0,100,8,4000,2000,2,,2,,2,,1,6000,,2,10000,3,,,,,,2,,,,,,3,,,,,,10,,,,,
878683,1,0,100,8,15000,2000,1,1,2,,1,2500,1,1500,,1,400000,1,,,,,,1,,,,,,12,,,,,,56,,,,,
878981,4,0,30,6,30000,10000,2,,2,,2,,2,,,2,100000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
879106,1,0,100,8,30000,18000,2,,2,,2,,2,,,1,100000,2,,,,,,1,,,,,,12,,,,,,50,,,,,
879112,2,1,10,8,40000,25000,2,,2,,2,,2,,12000,2,150000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
879638,14,13,50,1,85000,49000,2,,1,3,1,140000,1,930000,150000,2,3000,1,,,,,,1,,,,,,12,,,,,,70,,,,,
879703,2,0,49,8,17000,14000,2,,2,,2,,2,,,2,0,2,,,,,,1,,,,,,12,,,,,,40,,,,,
879875,6,5,100,1,200000,120000,2,,2,,2,,2,,20000,2,10000,2,,,,,,1,,,,,,12,,,,,,40,,,,,
880191,8,4,25,1,30000,15000,2,,2,,2,,1,20000,16000,2,100000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
880195,3,1,50,9,35000,15000,2,,2,,2,,1,4000,7000,1,150000,1,,,,,,1,,,,,,10,,,,,,50,,,,,
881074,2,0,100,8,30000,24000,2,,2,,2,,2,,,2,20000,1,2,,,,,1,1,,,,,12,12,,,,,48,48,,,,
881585,3,2,100,8,22000,12000,2,,2,,2,,2,,10000,2,0,1,,,,,,2,,,,,,12,,,,,,10,,,,,
881821,2,0,100,7,16000,12000,2,,2,,2,,2,,,2,0,1,2,,,,,1,1,,,,,11,11,,,,,48,48,,,,
881839,4,2,100,7,20000,15000,2,,2,,2,,2,,4000,2,100000,1,2,,,,,1,1,,,,,12,12,,,,,8,8,,,,
881842,1,0,100,8,30000,5000,2,,2,,2,,2,,,1,10000,1,,,,,,1,,,,,,2,,,,,,10,,,,,
881902,2,0,100,7,40000,20000,2,,2,,2,,2,,,1,20000,1,2,,,,,1,1,,,,,12,12,,,,,70,70,,,,
882297,2,0,100,1,120000,90000,2,,2,,2,,2,,,2,200000,1,5,,,,,1,1,,,,,12,12,,,,,50,50,,,,
883762,2,1,100,8,20000,0,1,1,2,,2,,2,,,2,0,2,3,,,,,1,1,,,,,12,12,,,,,12,50,,,,
884279,1,1,100,9,12000,12000,2,,2,,2,,2,,3000,2,5000,2,,,,,,1,,,,,,12,,,,,,50,,,,,
884444,3,2,100,1,60000,30000,2,,2,,2,,2,,10000,1,150000,1,,,,,,1,,,,,,12,,,,,,70,,,,,
884972,1,0,100,8,50000,25000,2,,2,,2,,2,,,2,100000,2,,,,,,1,,,,,,12,,,,,,48,,,,,
885548,4,0,100,6,150000,50000,2,,2,,2,,1,25000,,1,300000,1,3,4,5,,,1,1,1,1,,,12,12,12,12,,,9,8,8,8,,
885602,5,3,100,8,90000,45000,1,1,2,,1,5000,2,,21000,1,150000,1,2,,,,,1,1,,,,,12,12,,,,,55,60,,,,
886062,1,0,50,6,1200,-4000,2,,2,,2,,2,,,1,300000,1,,,,,,1,,,,,,12,,,,,,50,,,,,
886365,50,48,100,2,80000,55000,2,,2,,2,,2,,100000,1,2000000,1,,,,,,1,,,,,,12,,,,,,48,,,,,
887102,3,0,100,8,33000,12000,2,,2,,2,,2,,,2,95000,1,,,,,,1,,,,,,12,,,,,,60,,,,,
887303,1,0,100,8,30000,17000,2,,2,,1,2500,2,,,2,60000,1,,,,,,1,,,,,,12,,,,,,45,,,,,
888147,1,1,100,8,12000,10000,2,,2,,2,,2,,1200,2,13000,1,,,,,,1,,,,,,1,,,,,,35,,,,,
889561,4,2,100,9,23000,20000,2,,2,,2,,2,,14000,1,300000,1,2,,,,,1,1,,,,,12,12,,,,,40,40,,,,
889587,4,0,25,7,30000,18000,2,,2,,2,,2,,,2,150000,1,,,,,,1,,,,,,12,,,,,,40,,,,,
